t,S_wR_kgR,S_wR_kgL,S_wR_ka,S_wR_Kf,S_wR_Kq,S_wL_kgR,S_wL_kgL,S_wL_ka,S_wL_Kf,S_wL_Kq
0.32,0.009503412066546478,0.0,-0.034191131564574304,-0.18787325224240026,-0.004527074141352312,0.0,-0.009503412066546478,0.034191131564574304,0.18787325224240026,0.004527074141352312
0.325,0.0096435645921941,0.0,-0.03519681480193746,-0.1919997442984282,-0.004747489868419664,0.0,-0.0096435645921941,0.03519681480193746,0.1919997442984282,0.004747489868419664
0.33,0.009783538277081316,0.0,-0.03621522159572774,-0.19613091231723323,-0.004974315075551858,0.0,-0.009783538277081316,0.03621522159572774,0.19613091231723323,0.004974315075551858
0.335,0.009923329064245534,0.0,-0.0372462746087898,-0.20026613138212804,-0.005207602525762267,0.0,-0.009923329064245534,0.0372462746087898,0.20026613138212804,0.005207602525762267
0.34,0.010062932908485915,0.0,-0.03828989648637094,-0.20440480277760226,-0.0054474038058581415,0.0,-0.010062932908485915,0.03828989648637094,0.20440480277760226,0.0054474038058581415
0.345,0.010202345787331504,0.0,-0.03934600988014384,-0.20854635292497856,-0.0056937693618568964,0.0,-0.010202345787331504,0.03934600988014384,0.20854635292497856,0.0056937693618568964
0.35,0.010341563710844036,0.0,-0.040414537471601536,-0.21269023236120724,-0.005946748532969778,0.0,-0.010341563710844036,0.040414537471601536,0.21269023236120724,0.005946748532969778
0.355,0.010480582730344284,0.0,-0.04149540199474388,-0.21683591475903657,-0.0062063895841886155,0.0,-0.010480582730344284,0.04149540199474388,0.21683591475903657,0.0062063895841886155
0.36,0.010619398946145489,0.0,-0.04258852625799121,-0.2209828959868721,-0.006472739737513385,0.0,-0.010619398946145489,0.04258852625799121,0.2209828959868721,0.006472739737513385
0.365,0.010758008514372235,0.0,-0.04369383316527465,-0.22513069320670753,-0.006745845201859725,0.0,-0.010758008514372235,0.04369383316527465,0.22513069320670753,0.006745845201859725
0.37,0.010896407652938131,0.0,-0.04481124573626509,-0.22927884400858006,-0.007025751201686746,0.0,-0.010896407652938131,0.04481124573626509,0.22927884400858006,0.007025751201686746
0.375,0.011034592646750925,0.0,-0.045940687125713836,-0.23342690558006704,-0.007312502004386224,0.0,-0.011034592646750925,0.045940687125713836,0.23342690558006704,0.007312502004386224
0.38,0.011172559852209121,0.0,-0.0470820806418873,-0.23757445390940432,-0.007606140946474768,0.0,-0.011172559852209121,0.0470820806418873,0.23757445390940432,0.007606140946474768
0.385,0.011310305701049822,0.0,-0.0482353497640864,-0.241721083020866,-0.007906710458630754,0.0,-0.011310305701049822,0.0482353497640864,0.241721083020866,0.007906710458630754
0.39,0.011447826703603435,0.0,-0.04940041815924853,-0.2458664042411021,-0.00821425208961786,0.0,-0.011447826703603435,0.04940041815924853,0.2458664042411021,0.00821425208961786
0.395,0.011585119451506972,0.0,-0.050577209697635954,-0.2500100454951852,-0.008528806529136795,0.0,-0.011585119451506972,0.050577209697635954,0.2500100454951852,0.008528806529136795
0.4,0.011722180619924,0.0,-0.051765648467619836,-0.25415165063116885,-0.008850413629646487,0.0,-0.011722180619924,0.051765648467619836,0.25415165063116885,0.008850413629646487
0.405,0.011859006969315853,0.0,-0.05296565878957343,-0.2582908787720101,-0.009179112427195464,0.0,-0.011859006969315853,0.05296565878957343,0.2582908787720101,0.009179112427195464
0.41,0.011995595346805416,0.0,-0.0541771652288917,-0.262427403693755,-0.009514941161303542,0.0,-0.011995595346805416,0.0541771652288917,0.262427403693755,0.009514941161303542
0.415,0.012131942687171758,0.0,-0.0554000926081577,-0.26656091322893233,-0.009857937293933213,0.0,-0.012131942687171758,0.0554000926081577,0.26656091322893233,0.009857937293933213
0.42,0.012268046013511011,0.0,-0.056634366018478544,-0.2706911086941417,-0.010208137527589244,0.0,-0.012268046013511011,0.056634366018478544,0.2706911086941417,0.010208137527589244
0.425,0.012403902437596181,0.0,-0.05787991083001577,-0.27481770434086583,-0.010565577822584214,0.0,-0.012403902437596181,0.05787991083001577,0.27481770434086583,0.010565577822584214
0.43,0.012539509159966086,0.0,-0.05913665270173662,-0.278940426828573,-0.01093029341350665,0.0,-0.012539509159966086,0.05913665270173662,0.278940426828573,0.01093029341350665
0.435,0.012674863469771227,0.0,-0.06040451759041365,-0.2830590147192162,-0.011302318824927503,0.0,-0.012674863469771227,0.06040451759041365,0.2830590147192162,0.011302318824927503
0.44,0.01280996274440223,0.0,-0.06168343175890129,-0.2871732179922689,-0.011681687886379648,0.0,-0.01280996274440223,0.06168343175890129,0.2871732179922689,0.011681687886379648
0.445,0.012944804448924442,0.0,-0.0629733217837182,-0.29128279757947323,-0.012068433746644016,0.0,-0.012944804448924442,0.0629733217837182,0.29128279757947323,0.012068433746644016
0.45,0.01307938613534033,0.0,-0.06427411456196487,-0.2953875249185084,-0.012462588887374936,0.0,-0.01307938613534033,0.06427411456196487,0.2953875249185084,0.012462588887374936
0.455,0.01321370544169961,0.0,-0.06558573731760574,-0.2994871815248191,-0.01286418513609612,0.0,-0.01321370544169961,0.06558573731760574,0.2994871815248191,0.01286418513609612
